Column-0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,Last 7 Days
,51,"Tezos
XTZ",$4.90,-0.4%,-0.2%,-6.5%,"$138,549,214","$4,254,561,418",
,52,"Loopring
LRC",$3.38,-0.6%,8.9%,33.8%,"$2,142,824,053","$4,223,264,249",
,53,"Olympus
OHM",$860.78,-0.3%,0.8%,10.4%,"$188,957,960","$4,216,551,217",
,54,"Flow
FLOW",$13.47,1.2%,4.7%,6.9%,"$132,077,058","$4,211,894,629",
,55,"EOS
EOS",$4.17,0.3%,-0.2%,-5.0%,"$686,743,556","$4,064,985,723",
,56,"cUSDC
CUSDC",$0.02238520,0.2%,0.1%,-0.3%,"$117,869,379","$3,846,352,695",
,57,"Klaytn
KLAY",$1.44,-1.5%,-3.2%,-8.6%,"$18,576,692","$3,636,943,484",
,58,"PancakeSwap
CAKE",$14.20,0.4%,-3.0%,-14.1%,"$219,237,259","$3,464,796,136",
,59,"THORChain
RUNE",$11.69,1.2%,4.8%,7.5%,"$141,832,448","$3,463,922,588",
,60,"Aave
AAVE",$255.13,0.3%,-2.3%,-10.4%,"$174,265,238","$3,416,986,193",
,61,"Harmony
ONE",$0.308439,-2.9%,-3.0%,17.8%,"$259,721,463","$3,344,792,399",
,62,"Magic Internet Money
MIM",$1.00,-0.2%,0.1%,-0.8%,"$372,549,906","$3,343,309,779",
,63,"Zcash
ZEC",$280.26,0.7%,9.8%,75.3%,"$1,382,356,378","$3,316,538,135",
,64,"LEO Token
LEO",$3.30,-0.7%,-2.9%,5.4%,"$423,739","$3,106,641,236",
,65,"eCash
XEC",$0.00016179,0.0%,-2.0%,-12.1%,"$85,857,477","$3,068,905,901",
,66,"Quant
QNT",$226.57,0.7%,-2.5%,-9.2%,"$48,739,538","$3,033,473,964",
,67,"Arweave
AR",$60.05,0.0%,1.2%,6.3%,"$76,317,125","$3,008,801,775",
,68,"Kusama
KSM",$333.27,0.4%,-1.8%,-9.6%,"$99,138,774","$2,994,450,842",
,69,"Bitcoin SV
BSV",$155.64,0.0%,0.4%,-5.0%,"$116,692,225","$2,942,607,100",
,70,"Maker
MKR","$3,247.71",-0.0%,6.4%,15.6%,"$150,990,235","$2,925,365,427",
,71,"Amp
AMP",$0.059603,-1.2%,-5.7%,16.3%,"$122,640,724","$2,861,794,568",
,72,"NEO
NEO",$39.48,-0.1%,-0.1%,-9.0%,"$155,931,312","$2,784,307,016",
,73,"Chiliz
CHZ",$0.512641,-1.1%,20.1%,2.8%,"$918,473,012","$2,739,586,572",
,74,"Kadena
KDA",$16.63,0.3%,-7.3%,-22.7%,"$49,148,863","$2,628,265,552",
,75,"Holo
HOT",$0.01371183,1.5%,-1.6%,8.9%,"$293,828,015","$2,435,538,671",
,76,"Curve DAO Token
CRV",$6.11,5.2%,29.0%,50.7%,"$1,457,443,060","$2,396,100,420",
,77,"Huobi BTC
HBTC","$57,642.71",0.6%,2.2%,-4.6%,"$4,632,321","$2,299,026,462",
,78,"Bitcoin Cash ABC
BCHA",$118.25,0.1%,3.6%,-17.5%,"$115,404","$2,222,482,394",
,79,"Dash
DASH",$205.91,-0.1%,4.9%,8.2%,"$435,238,538","$2,150,859,836",
,80,"BitTorrent
BTT",$0.00323363,0.2%,-0.3%,-10.7%,"$439,010,515","$2,130,952,860",
,81,"Stacks
STX",$1.97,0.4%,1.3%,-8.3%,"$24,073,466","$2,068,031,332",
,82,"Waves
WAVES",$20.14,0.3%,-0.9%,-6.6%,"$137,078,431","$2,014,744,181",
,83,"Wonderland
TIME","$8,577.29",-0.5%,4.2%,-5.4%,"$137,578,377","$1,964,901,173",
,84,"Celsius Network
CEL",$4.51,0.2%,11.1%,6.9%,"$7,217,693","$1,910,370,603",
,85,"Theta Fuel
TFUEL",$0.325692,0.6%,1.2%,-5.3%,"$26,053,381","$1,658,583,786",
,86,"KuCoin Token
KCS",$24.14,-0.3%,1.2%,-2.1%,"$32,836,818","$1,863,358,297",
,89,"Celo
CELO",$5.27,0.9%,-0.5%,2.2%,"$46,748,700","$1,830,884,778",
,90,"Basic Attention Token
BAT",$1.22,2.4%,18.5%,13.7%,"$389,228,251","$1,828,825,607",
,87,"SafeMoon
SAFEMOON",$0.00000320,-0.3%,5.4%,-7.8%,"$11,436,913","$1,826,083,513",
,88,"LINK
LN",$301.36,-2.6%,-3.6%,49.2%,"$15,907,633","$1,800,774,889",
,91,"Compound
COMP",$281.17,0.2%,-0.2%,-13.1%,"$107,308,840","$1,737,828,446",
,92,"IoTeX
IOTX",$0.182742,0.5%,-3.5%,-8.0%,"$154,630,383","$1,737,256,157",
,93,"WAX
WAXP",$0.929881,0.4%,14.6%,-2.1%,"$294,132,581","$1,720,435,707",
,94,"Immutable X
IMX",$8.97,-0.1%,8.0%,48.4%,"$104,162,393","$1,692,973,278",
,95,"Qtum
QTUM",$15.52,1.1%,9.0%,2.3%,"$363,682,768","$1,612,182,458",
,96,"Mina Protocol
MINA",$5.14,0.7%,14.7%,10.5%,"$195,588,234","$1,559,248,251",
,98,"NEM
XEM",$0.172323,0.4%,-0.1%,-11.5%,"$44,700,664","$1,549,090,852",
,97,"Sushi
SUSHI",$8.02,-0.5%,-2.0%,-17.6%,"$198,151,969","$1,546,609,632",
,99,"Huobi Token
HT",$9.64,-0.1%,-1.5%,-8.9%,"$69,080,571","$1,534,961,524",
,101,"Synthetix Network Token
SNX",$7.95,0.7%,-2.4%,-11.4%,"$92,597,942","$1,523,430,521",
